Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
1950	8.2510103	7.9299312	2.5682827	1.6104017	0.0489541	0.1265560	0.0122288	0.0235166	0.0283449	0.0582635	0.0214040	0.0370706	0.0673656	0.0577750	-2.180
1960	10.5774168	10.4588925	4.0068631	1.6121401	0.0371170	0.1752348	0.0092719	0.0147898	0.0156960	0.0252877	0.0241669	0.0378312	0.0561232	0.0388510	-2.665
1970	9.3847738	9.2260612	4.3346888	1.0277978	0.0388208	0.1555349	0.0183722	0.0192216	0.0122854	0.0470765	0.0441065	0.0476173	0.0931552	0.0437883	-3.941
1980	9.5764619	9.1101870	5.2880484	1.4138850	0.0428549	0.5542182	0.0087267	0.0140305	0.0097625	0.0579266	0.0219027	0.0697854	0.0917203	0.0495577	-2.132
1990	11.4213135	10.8920167	2.9847934	4.5640302	0.0598090	0.1558468	0.0102335	0.0187436	0.0260268	0.0073444	0.0152146	0.0731208	0.0616392	0.0720093	-3.616
2000	11.9649498	11.3890397	5.3094707	6.5178754	0.0658395	0.2332074	0.0092733	0.0083115	0.0105975	0.0110501	0.0064883	0.0464579	0.0742076	0.0930518	-2.958
2010	11.9124161	11.8761467	4.7957325	3.2175600	0.0661298	0.2246844	0.0051627	0.0149074	0.0115873	0.0159236	0.0185333	0.0703407	0.0597200	0.0366803	-2.328
2020	11.9124161	11.8761467	4.7957325	3.3535066	0.0661298	0.1285087	0.0043104	0.0214542	0.0113206	0.0193314	0.0138090	0.0703407	0.0611418	0.0546067	-1.184
2030	9.8641774	9.4168564	2.6836202	0.5563962	0.0558008	0.1687684	0.0068694	0.0288578	0.0199363	0.0425579	0.0424940	0.0849465	0.0591403	0.0362064	-6.838
2040	9.3428251	9.3412526	1.9230214	1.4105988	0.0589147	0.0602343	0.0066566	0.0641680	0.0324085	0.0407971	0.0277470	0.0586651	0.0507077	0.0536983	-3.386
2050	8.3803048	8.3788943	0.9381589	1.7733997	0.0656813	0.1208510	0.0106995	0.0694340	0.0785011	0.0387728	0.0317937	0.0654030	0.0629104	0.0710295	-1.235
2060	7.9653909	7.9640502	1.0316425	1.6855976	0.0691026	0.1249789	0.0112827	0.0881076	0.0413618	0.0440733	0.0273284	0.0681453	0.0661874	0.0747294	-1.906
2070	9.7227111	9.0655123	1.2438458	1.9497884	0.0573135	0.1571229	0.0124215	0.0541542	0.0590112	0.0229957	0.0202196	0.0565195	0.0508141	0.0613789	-3.122
2080	9.8881797	9.5492841	1.6748859	2.7215172	0.0447013	0.1322883	0.0126489	0.0319188	0.0238649	0.0284162	0.0173858	0.0414238	0.0546294	0.0613248	-3.283
2090	10.5035969	10.1636638	1.2325916	2.7085781	0.0339268	0.0880562	0.0148457	0.0384901	0.0671667	0.0222472	0.0182678	0.0368575	0.0384741	0.0484925	-3.120
2100	9.7324005	7.8115637	2.1225635	3.5456984	0.0441423	0.1141993	0.0152407	0.0293013	0.0366435	0.0134570	0.0201275	0.0458554	0.0606859	0.0556241	-7.933
