Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
4460	10.9862070	8.3310965	0.9862036	1.1242943	0.0155761	0.1657563	0.0043750	0.0473299	0.0310652	0.0128451	0.0353446	0.0155461	0.0599846	0.0697886	-7.225
4470	10.3583303	8.8184707	1.2121003	2.3668361	0.0330437	0.1105374	0.0145759	0.0665540	0.0603296	0.0222210	0.0223240	0.0221541	0.0512826	0.0641646	-3.306
4480	8.6872593	6.5263094	0.8697009	1.1353543	0.0155377	0.1934798	0.0033696	0.0793562	0.1019314	0.0497164	0.0486716	0.0306800	0.0702636	0.0765073	-1.541
4490	10.2529551	9.8810625	0.8407794	1.5522072	0.0178874	0.1934798	0.0044105	0.0826160	0.0745572	0.0306599	0.0458864	0.0163066	0.0506582	0.0755131	-2.647
4500	11.7551799	11.0157158	0.9717761	4.2936990	0.0182367	0.0867641	0.0021373	0.0589280	0.0741690	0.0100271	0.0096706	0.0225833	0.0474420	0.0420231	-4.463
4510	11.9371880	9.7591703	0.7801199	1.5501881	0.0103311	0.0386134	0.0085957	0.0953399	0.1054134	0.0237935	0.0207819	0.0175255	0.0341695	0.0409572	-6.039
4520	12.1229990	9.2314968	1.0748972	2.7980661	0.0163064	0.1655031	0.0079617	0.0570675	0.0649825	0.0290303	0.0172391	0.0271827	0.0381172	0.0469866	-4.361
4530	11.7025916	8.3852372	0.5724543	2.1140468	0.0351966	0.0734018	0.0172432	0.0623147	0.0690716	0.0283770	0.0261795	0.0247301	0.0380518	0.0515419	-8.016
4540	11.7716746	9.1220236	0.6883008	2.1595399	0.0135262	0.0474572	0.0084281	0.1086240	0.0959368	0.0277792	0.0265746	0.0246893	0.0395312	0.0504562	-3.293
4550	10.6833733	9.8057864	0.5439372	2.3303744	0.0268397	0.0665315	0.0167509	0.1155563	0.1137377	0.0363836	0.0310206	0.0299222	0.0507290	0.0541211	-5.345
4560	11.6872455	9.6813304	0.5294128	1.9518357	0.0223282	0.1229708	0.0158708	0.1235577	0.1284688	0.0320049	0.0257129	0.0278012	0.0373426	0.0537506	-4.421
4570	7.8851367	6.6418927	0.3674762	0.9280512	0.0335479	0.0833204	0.0166035	0.1822129	0.1894554	0.0471982	0.0461969	0.0409990	0.0661124	0.0803154	-3.711
4580	11.6030630	9.8431550	0.5364833	2.2455432	0.0241584	0.1132590	0.0087212	0.1813748	0.1364298	0.0253045	0.0451435	0.0327195	0.0481145	0.0485891	-4.990
4590	11.2823865	10.8198910	0.3406865	1.5487878	0.0285762	0.1017216	0.0043172	0.2390158	0.2283743	0.0386165	0.0406090	0.0349789	0.0364035	0.0371528	-2.228
4600	11.5649984	9.8851904	0.4971497	3.0625923	0.0142695	0.2639476	0.0071966	0.2183718	0.1800740	0.0205101	0.0176613	0.0199279	0.0475246	0.0506463	-4.374
4610	8.6596754	8.3434884	0.4548477	3.1381831	0.0211393	0.1760981	0.0087974	0.1157153	0.1384681	0.0181342	0.0248511	0.0204504	0.0473978	0.0750289	-1.965
4620	10.3445316	8.9664008	0.5524545	2.4801199	0.0233008	0.2721914	0.0023698	0.1383043	0.1156162	0.0327393	0.0146060	0.0360241	0.0465898	0.0492022	-2.500
4630	11.2439387	10.8209347	1.4933007	1.1767756	0.0376536	0.0561934	0.0081396	0.0332505	0.0439924	0.0515741	0.0593956	0.0336534	0.0356575	0.0491656	-2.935
4640	9.4786785	8.3451325	1.5912110	1.0989689	0.0174247	0.1119486	0.0087158	0.0267769	0.0288817	0.0552255	0.0269311	0.0242747	0.0443712	0.0451020	-3.871
4650	11.6289415	9.6048639	1.6703342	0.8028839	0.0157394	0.0649414	0.0078729	0.0371295	0.0535344	0.0453901	0.0686027	0.0192232	0.0513246	0.0382548	-3.491
4660	11.2405197	8.9136327	1.9744862	0.7741584	0.0180484	0.1484308	0.0028167	0.0352886	0.0391127	0.0684643	0.0339794	0.0262159	0.0477751	0.0469170	-3.266
4670	10.2628885	9.8272587	1.5275591	1.0649149	0.0284043	0.1846850	0.0054578	0.0361697	0.0309526	0.0237710	0.0480138	0.0318657	0.0466876	0.0468717	-2.673
4680	9.3873930	8.7099425	1.1781766	0.9224363	0.0317409	0.1748595	0.0133124	0.0306044	0.0418999	0.0411648	0.0589637	0.0343722	0.0466876	0.0468717	-4.071
4690	9.3116492	8.5951419	0.8044689	0.7010083	0.0305887	0.1384778	0.0089904	0.0519429	0.0674395	0.1003141	0.0542311	0.0353730	0.0431553	0.0428264	-2.736
4700	8.1875156	7.4710067	0.6849054	1.6590112	0.0318290	0.0471328	0.0279138	0.0698132	0.0672770	0.0357381	0.0437083	0.0352878	0.0633370	0.0594979	-6.685
4710	8.1378233	8.0146861	0.7897514	1.3618551	0.0404334	0.0768938	0.0209638	0.0727419	0.0836638	0.0453992	0.0335293	0.0448272	0.0622629	0.0604538	-2.979
4720	8.1507096	7.5699387	1.2802847	1.4329206	0.0335196	0.2078319	0.0062550	0.0590772	0.0359198	0.0416400	0.0356918	0.0411154	0.0630240	0.0633256	-1.166
4730	10.6539584	9.8505613	4.3335089	2.0914055	0.0085641	0.2411967	0.0022506	0.0118223	0.0197863	0.0281334	0.0216830	0.0095161	0.0781975	0.0585327	-0.480
4740	8.4698995	7.7343965	2.3018613	0.7816362	0.0142908	0.1593751	0.0031253	0.0366774	0.0231045	0.0801695	0.0594486	0.0189088	0.1088890	0.0571513	-3.021
4750	8.8205709	7.1163479	1.2669927	0.7148672	0.0300194	0.1143226	0.0151392	0.0430073	0.0538418	0.0615206	0.0921265	0.0378367	0.0477891	0.0560359	-5.550
4760	12.0468161	11.0618551	2.0060624	2.0556309	0.0206593	0.0665590	0.0044548	0.0361997	0.0275296	0.0439680	0.0185104	0.0213410	0.0349185	0.0414125	-2.239
4770	11.9950779	11.7836862	0.9217442	1.9030057	0.0243899	0.0303037	0.0137987	0.0427366	0.0341392	0.0213001	0.0218530	0.0253461	0.0303190	0.0354928	-5.774
4780	10.5245736	10.3115662	2.0136147	0.8130155	0.0238586	0.0303037	0.0148865	0.0274129	0.0349444	0.0452749	0.0523266	0.0259439	0.0473267	0.0447685	-3.419
4790	9.0210311	8.2299409	1.6287929	1.6291387	0.0298932	0.0455143	0.0144486	0.0228906	0.0265782	0.0313102	0.0347866	0.0324995	0.0411411	0.0402563	-7.272
4800	10.5473179	10.0910980	2.6372403	1.8081288	0.0301321	0.0437630	0.0145640	0.0230735	0.0267906	0.0369920	0.0350646	0.0327592	0.0572933	0.0415569	-3.366
4810	11.2332524	10.9110363	1.5970123	1.8524339	0.0278677	0.0437630	0.0134696	0.0219830	0.0222338	0.0301950	0.0286456	0.0256038	0.0305896	0.0386131	-6.073
4820	11.2332524	10.1257467	2.1849763	1.3579825	0.0231686	0.0249741	0.0196069	0.0334330	0.0398399	0.0208382	0.0241073	0.0256038	0.0411003	0.0388074	-8.684
4830	9.3168686	8.1936774	2.1739351	1.0204957	0.0517734	0.1077051	0.0071927	0.0323052	0.0303913	0.0611427	0.0309245	0.0612463	0.0527228	0.0581378	-3.075
4840	11.7724470	10.4829663	3.5338475	1.1703228	0.0415355	0.0558340	0.0088330	0.0161636	0.0342984	0.0572844	0.0664026	0.0491351	0.0401986	0.0606811	-9.723
4850	11.5747578	10.8721974	2.3638135	1.1064178	0.0334600	0.0858382	0.0185159	0.0329923	0.0254076	0.0711590	0.0595364	0.0403460	0.0517061	0.0453699	-5.336
4860	10.5777219	9.2643592	1.1971684	0.5161702	0.0413327	0.1718686	0.0043292	0.0803013	0.0348404	0.1064548	0.0735445	0.0465780	0.0415335	0.0406037	-3.409
4870	9.4679313	8.9969010	1.4588278	1.0435460	0.0321542	0.0525023	0.0293151	0.0356837	0.0429717	0.0714993	0.0779794	0.0358373	0.0525620	0.0514884	-7.247
4880	10.5560935	8.8812097	1.2642595	0.5140206	0.0283034	0.0279079	0.0106682	0.0412135	0.0446204	0.0594540	0.0586014	0.0326573	0.0457764	0.0386934	-5.519
4890	8.5154806	7.1869602	0.7139075	0.7297678	0.0494358	0.2123676	0.0063431	0.0728540	0.1144648	0.0832617	0.1091116	0.0690798	0.0650951	0.0549550	-3.446
4900	9.2820670	9.0422524	0.5466476	1.3051801	0.0581791	0.0514581	0.0231917	0.0631395	0.0875166	0.0451387	0.0488481	0.0578305	0.0487764	0.0472512	-6.237
4910	10.1948956	9.9154857	1.1654962	2.1657966	0.0606530	0.0723926	0.0143703	0.0519743	0.0543473	0.0260800	0.0317164	0.0657626	0.0505324	0.0324769	-6.543
4920	10.2843529	8.5753019	1.3213960	2.6292862	0.0962005	0.4072972	0.0118402	0.0550440	0.0365248	0.0141250	0.0262247	0.0227389	0.0483066	0.0581765	-4.036
4930	11.2099338	10.8271077	1.8773302	1.7917517	0.0481548	0.0788881	0.0134252	0.0323390	0.0501873	0.0342534	0.0270824	0.0512178	0.0359141	0.0421486	-3.776
4940	8.3093560	7.7650221	0.9201789	1.3281347	0.0550062	0.0704827	0.0079627	0.0927163	0.0646519	0.0707348	0.0410772	0.0453634	0.0684378	0.0831316	-2.719
4950	11.5515668	9.9611522	0.7188553	1.1279008	0.0250501	0.0715001	0.0033701	0.0427992	0.0537028	0.0612882	0.0384327	0.0274837	0.0411681	0.0433891	-3.611
4960	10.1109395	9.9290280	1.2017434	2.2957809	0.0290544	0.0473828	0.0176086	0.0427992	0.0484343	0.0360719	0.0275194	0.0271989	0.0512952	0.0345231	-7.474
4970	11.6266016	11.1679935	1.0219513	1.3867881	0.0331361	0.1682769	0.0062309	0.0624052	0.0552386	0.0520789	0.0371499	0.0393727	0.0331601	0.0442474	-1.657
4980	8.8453463	8.4487837	0.9397042	1.8586306	0.0403234	0.0924406	0.0085468	0.0396212	0.0474486	0.0184188	0.0207219	0.0418996	0.0508299	0.0410875	-5.687
4990	8.9238853	8.5238015	2.7945118	3.6581342	0.0326968	0.1934532	0.0173743	0.0273578	0.0113547	0.0200768	0.0114471	0.0425182	0.0432320	0.0671864	-6.506
5000	10.5558233	6.4697056	1.8744033	1.9226065	0.0304511	0.0631121	0.0065244	0.0273363	0.0170810	0.0340146	0.0381184	0.0264150	0.0504481	0.0488309	-11.948
